"Times","SoundPressure1","OffsetPressure1","SoundPressure2","OffsetPressure2"
0.0125,2.687,0.000,2.653,-0.007
0.0126,2.688,0.001,2.657,-0.004
0.0127,2.681,-0.006,2.653,-0.007
0.0128,2.687,0.000,2.654,-0.006
0.0129,2.691,0.004,2.660,0.000
0.0130,2.682,-0.005,2.653,-0.007
0.0131,2.692,0.005,2.665,0.005
0.0132,2.687,0.000,2.659,-0.001
0.0133,2.684,-0.002,2.657,-0.004
0.0134,2.693,0.006,2.666,0.006
0.0135,2.688,0.001,2.665,0.005
0.0136,2.691,0.004,2.663,0.002
0.0137,2.689,0.003,2.670,0.010
0.0138,2.686,-0.001,2.666,0.006
0.0139,2.688,0.001,2.668,0.007
0.0140,2.692,0.005,2.675,0.015
0.0141,2.691,0.004,2.666,0.006
0.0142,2.689,0.003,2.665,0.005
0.0143,2.689,0.003,2.668,0.007
0.0144,2.686,-0.001,2.660,0.000
0.0145,2.692,0.005,2.666,0.006
0.0146,2.683,-0.004,2.655,-0.005
0.0147,2.689,0.003,2.657,-0.004
0.0148,2.693,0.006,2.661,0.001
0.0149,2.687,0.000,2.658,-0.002
0.0150,2.693,0.006,2.664,0.004
0.0151,2.692,0.005,2.666,0.006
0.0152,2.692,0.005,2.660,0.000
0.0153,2.691,0.004,2.664,0.004
0.0154,2.687,0.000,2.665,0.005
0.0155,2.691,0.004,2.657,-0.004
0.0156,2.687,0.000,2.659,-0.001
0.0157,2.680,-0.007,2.657,-0.004
0.0158,2.682,-0.005,2.657,-0.004
0.0159,2.682,-0.005,2.660,0.000
0.0160,2.676,-0.011,2.651,-0.010
0.0161,2.686,-0.001,2.658,-0.002
0.0162,2.681,-0.006,2.655,-0.005
0.0163,2.680,-0.007,2.648,-0.012
0.0164,2.687,0.000,2.657,-0.004
0.0165,2.686,-0.001,2.661,0.001
0.0166,2.692,0.005,2.660,0.000
0.0167,2.692,0.005,2.666,0.006
0.0168,2.682,-0.005,2.665,0.005
0.0169,2.687,0.000,2.666,0.006
0.0170,2.687,0.000,2.668,0.007
0.0171,2.686,-0.001,2.657,-0.004
0.0172,2.691,0.004,2.658,-0.002
0.0173,2.692,0.005,2.666,0.006
0.0174,2.693,0.006,2.664,0.004
0.0175,2.695,0.009,2.664,0.004
0.0176,2.687,0.000,2.660,0.000
0.0177,2.687,0.000,2.653,-0.007
0.0178,2.691,0.004,2.660,0.000
0.0179,2.688,0.001,2.651,-0.010
0.0180,2.692,0.005,2.652,-0.008
0.0181,2.693,0.006,2.658,-0.002
0.0182,2.682,-0.005,2.647,-0.013
0.0183,2.687,0.000,2.659,-0.001
0.0184,2.682,-0.005,2.658,-0.002
0.0185,2.682,-0.005,2.663,0.002
