"Times","SoundPressure1","OffsetPressure1","SoundPressure2","OffsetPressure2"
0.0117,2.689,0.001,2.659,-0.002
0.0118,2.688,0.000,2.654,-0.007
0.0119,2.689,0.001,2.663,0.001
0.0120,2.688,0.000,2.669,0.007
0.0121,2.694,0.006,2.663,0.001
0.0122,2.691,0.002,2.665,0.004
0.0123,2.683,-0.005,2.662,0.000
0.0124,2.686,-0.003,2.657,-0.005
0.0125,2.691,0.002,2.665,0.004
0.0126,2.682,-0.006,2.657,-0.005
0.0127,2.691,0.002,2.658,-0.004
0.0128,2.688,0.000,2.664,0.003
0.0129,2.682,-0.006,2.656,-0.006
0.0130,2.686,-0.003,2.658,-0.004
0.0131,2.688,0.000,2.669,0.007
0.0132,2.686,-0.003,2.658,-0.004
0.0133,2.687,-0.001,2.659,-0.002
0.0134,2.691,0.002,2.669,0.007
0.0135,2.687,-0.001,2.657,-0.005
0.0136,2.693,0.005,2.664,0.003
0.0137,2.688,0.000,2.665,0.004
0.0138,2.689,0.001,2.661,-0.001
0.0139,2.697,0.008,2.668,0.006
0.0140,2.691,0.002,2.667,0.005
0.0141,2.692,0.003,2.665,0.004
0.0142,2.689,0.001,2.667,0.005
0.0143,2.682,-0.006,2.663,0.001
0.0144,2.686,-0.003,2.658,-0.004
0.0145,2.689,0.001,2.664,0.003
0.0146,2.681,-0.008,2.656,-0.006
0.0147,2.686,-0.003,2.657,-0.005
0.0148,2.689,0.001,2.665,0.004
0.0149,2.686,-0.003,2.657,-0.005
0.0150,2.686,-0.003,2.656,-0.006
0.0151,2.687,-0.001,2.663,0.001
0.0152,2.685,-0.004,2.656,-0.006
0.0153,2.691,0.002,2.662,0.000
0.0154,2.689,0.001,2.669,0.007
0.0155,2.688,0.000,2.663,0.001
0.0156,2.689,0.001,2.662,0.000
0.0157,2.691,0.002,2.665,0.004
0.0158,2.689,0.001,2.658,-0.004
0.0159,2.691,0.002,2.661,-0.001
0.0160,2.692,0.003,2.668,0.006
0.0161,2.694,0.006,2.667,0.005
0.0162,2.697,0.008,2.668,0.006
0.0163,2.687,-0.001,2.663,0.001
0.0164,2.689,0.001,2.662,0.000
0.0165,2.691,0.002,2.665,0.004
0.0166,2.686,-0.003,2.659,-0.002
0.0167,2.691,0.002,2.659,-0.002
0.0168,2.692,0.003,2.669,0.007
0.0169,2.686,-0.003,2.664,0.003
0.0170,2.692,0.003,2.663,0.001
0.0171,2.691,0.002,2.667,0.005
0.0172,2.683,-0.005,2.656,-0.006
0.0173,2.689,0.001,2.661,-0.001
0.0174,2.691,0.002,2.663,0.001
0.0175,2.682,-0.006,2.654,-0.007
0.0176,2.689,0.001,2.663,0.001
0.0177,2.689,0.001,2.664,0.003
0.0178,2.685,-0.004,2.656,-0.006
0.0179,2.691,0.002,2.658,-0.004
0.0180,2.689,0.001,2.668,0.006
0.0181,2.693,0.005,2.665,0.004
0.0182,2.694,0.006,2.667,0.005
0.0183,2.689,0.001,2.664,0.003
0.0184,2.689,0.001,2.658,-0.004
0.0185,2.693,0.005,2.668,0.006
0.0186,2.686,-0.003,2.659,-0.002
0.0187,2.689,0.001,2.657,-0.005
0.0188,2.691,0.002,2.665,0.004
0.0189,2.683,-0.005,2.663,0.001
0.0190,2.689,0.001,2.664,0.003
0.0191,2.688,0.000,2.664,0.003
0.0192,2.681,-0.008,2.654,-0.007
0.0193,2.688,0.000,2.658,-0.004
0.0194,2.689,0.001,2.664,0.003
0.0195,2.683,-0.005,2.653,-0.008
0.0196,2.692,0.003,2.664,0.003
0.0197,2.692,0.003,2.667,0.005
0.0198,2.687,-0.001,2.657,-0.005
0.0199,2.693,0.005,2.669,0.007
0.0200,2.689,0.001,2.670,0.009
0.0201,2.692,0.003,2.669,0.007
0.0202,2.694,0.006,2.667,0.005
0.0203,2.686,-0.003,2.664,0.003
0.0204,2.686,-0.003,2.659,-0.002
0.0205,2.692,0.003,2.665,0.004
0.0206,2.687,-0.001,2.664,0.003
0.0207,2.688,0.000,2.656,-0.006
0.0208,2.691,0.002,2.664,0.003
0.0209,2.687,-0.001,2.663,0.001
0.0210,2.692,0.003,2.663,0.001
0.0211,2.689,0.001,2.661,-0.001
0.0212,2.682,-0.006,2.653,-0.008
0.0213,2.693,0.005,2.664,0.003
0.0214,2.688,0.000,2.659,-0.002
0.0215,2.682,-0.006,2.652,-0.010
0.0216,2.687,-0.001,2.656,-0.006
0.0217,2.687,-0.001,2.665,0.004
0.0218,2.689,0.001,2.659,-0.002
0.0219,2.693,0.005,2.668,0.006
0.0220,2.693,0.005,2.670,0.009
0.0221,2.691,0.002,2.665,0.004
0.0222,2.689,0.001,2.663,0.001
0.0223,2.683,-0.005,2.661,-0.001
0.0224,2.687,-0.001,2.663,0.001
0.0225,2.695,0.007,2.665,0.004
0.0226,2.685,-0.004,2.661,-0.001
0.0227,2.692,0.003,2.663,0.001
0.0228,2.689,0.001,2.659,-0.002
0.0229,2.682,-0.006,2.654,-0.007
0.0230,2.687,-0.001,2.657,-0.005
0.0231,2.689,0.001,2.664,0.003
0.0232,2.689,0.001,2.662,0.000
0.0233,2.691,0.002,2.659,-0.002
0.0234,2.689,0.001,2.665,0.004
0.0235,2.683,-0.005,2.657,-0.005
0.0236,2.694,0.006,2.668,0.006
0.0237,2.692,0.003,2.669,0.007
0.0238,2.689,0.001,2.663,0.001
0.0239,2.694,0.006,2.665,0.004
0.0240,2.692,0.003,2.667,0.005
0.0241,2.691,0.002,2.659,-0.002
0.0242,2.692,0.003,2.663,0.001
0.0243,2.691,0.002,2.667,0.005
0.0244,2.687,-0.001,2.657,-0.005
0.0245,2.689,0.001,2.664,0.003
0.0246,2.686,-0.003,2.665,0.004
0.0247,2.692,0.003,2.664,0.003
0.0248,2.695,0.007,2.671,0.010
0.0249,2.687,-0.001,2.664,0.003
0.0250,2.692,0.003,2.664,0.003
0.0251,2.692,0.003,2.667,0.005
0.0252,2.685,-0.004,2.659,-0.002
0.0253,2.689,0.001,2.659,-0.002
0.0254,2.689,0.001,2.667,0.005
0.0255,2.687,-0.001,2.657,-0.005
0.0256,2.689,0.001,2.658,-0.004
0.0257,2.687,-0.001,2.664,0.003
0.0258,2.686,-0.003,2.657,-0.005
0.0259,2.695,0.007,2.667,0.005
0.0260,2.692,0.003,2.669,0.007
0.0261,2.689,0.001,2.659,-0.002
0.0262,2.688,0.000,2.658,-0.004
0.0263,2.683,-0.005,2.657,-0.005
0.0264,2.683,-0.005,2.652,-0.010
0.0265,2.691,0.002,2.657,-0.005
0.0266,2.687,-0.001,2.664,0.003
0.0267,2.688,0.000,2.658,-0.004
0.0268,2.687,-0.001,2.664,0.003
0.0269,2.682,-0.006,2.659,-0.002
0.0270,2.691,0.002,2.663,0.001
0.0271,2.694,0.006,2.669,0.007
0.0272,2.685,-0.004,2.657,-0.005
0.0273,2.689,0.001,2.661,-0.001
0.0274,2.692,0.003,2.665,0.004
0.0275,2.687,-0.001,2.657,-0.005
0.0276,2.694,0.006,2.664,0.003
0.0277,2.691,0.002,2.667,0.005
0.0278,2.685,-0.004,2.656,-0.006
0.0279,2.689,0.001,2.662,0.000
0.0280,2.687,-0.001,2.667,0.005
0.0281,2.688,0.000,2.659,-0.002
0.0282,2.691,0.002,2.665,0.004
0.0283,2.689,0.001,2.665,0.004
0.0284,2.689,0.001,2.662,0.000
0.0285,2.694,0.006,2.668,0.006
0.0286,2.687,-0.001,2.663,0.001
0.0287,2.689,0.001,2.659,-0.002
0.0288,2.692,0.003,2.665,0.004
0.0289,2.682,-0.006,2.654,-0.007
0.0290,2.686,-0.003,2.656,-0.006
0.0291,2.687,-0.001,2.663,0.001
0.0292,2.685,-0.004,2.657,-0.005
0.0293,2.689,0.001,2.658,-0.004
0.0294,2.692,0.003,2.668,0.006
